¨é°Ó¶R½æªÑ²¼¦¨¥æ»ù¶q¸ê°T
ªÑ²¼¥N½X,="2330"
§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ,,§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ
115,1037¤g»Èªá½¬,569.00,3000,0,,116,1037¤g»Èªá½¬,570.00,5195,0 
117,1037¤g»Èªá½¬,571.00,2086,0,,118,1037¤g»Èªá½¬,572.00,1315,0 
119,1038¤g»È©M¥­,566.00,1000,0,,120,1038¤g»È©M¥­,570.00,3240,0 
121,1038¤g»È©M¥­,571.00,1280,0,,122,1038¤g»È©M¥­,572.00,30,0 
123,1039¤g»È¤hªL,566.00,2000,0,,124,1039¤g»È¤hªL,569.00,2000,0 
125,1039¤g»È¤hªL,570.00,420,0,,126,1039¤g»È¤hªL,571.00,500,0 
127,1039¤g»È¤hªL,572.00,200,0,,128,103A¤g»È«Ø°ê,566.00,1000,0 
129,103A¤g»È«Ø°ê,569.00,1000,0,,130,103A¤g»È«Ø°ê,570.00,5836,50 
131,103A¤g»È«Ø°ê,571.00,1568,0,,132,103A¤g»È«Ø°ê,572.00,295,0 
133,103A¤g»È«Ø°ê,573.00,0,1000,,134,103B¤g»È¹ü¤Æ,566.00,1000,0 
135,103B¤g»È¹ü¤Æ,569.00,2136,0,,136,103B¤g»È¹ü¤Æ,570.00,454,0 
137,103B¤g»È¹ü¤Æ,571.00,282,0,,138,103B¤g»È¹ü¤Æ,572.00,500,0 
139,103C¤g»È¥Õªe,569.00,150,0,,140,103C¤g»È¥Õªe,570.00,360,0 
141,103C¤g»È¥Õªe,571.00,50,2000,,142,103C¤g»È¥Õªe,572.00,120,0 
143,103F¤g»È«n´ä,566.00,4000,0,,144,103F¤g»È«n´ä,569.00,3050,0 
145,103F¤g»È«n´ä,570.00,2600,1000,,146,103F¤g»È«n´ä,571.00,400,1000 
147,103F¤g»È«n´ä,572.00,1000,0,,148,103F¤g»È«n´ä,573.00,100,0 
149,1040»O    »È,566.00,6000,2000,,150,1040»O    »È,569.00,7748,1000 
151,1040»O    »È,570.00,403507,4020,,152,1040»O    »È,571.00,762892,1241 
153,1040»O    »È,572.00,146077,0,,154,1040»O    »È,573.00,18553,0 
155,1041»O»È»ñ¤s,566.00,7000,0,,156,1041»O»È»ñ¤s,569.00,6576,2000 
157,1041»O»È»ñ¤s,570.00,22293,7130,,158,1041»O»È»ñ¤s,571.00,12375,2250 
159,1041»O»È»ñ¤s,572.00,4760,2050,,160,1041»O»È»ñ¤s,573.00,520,105 
161,1042»O»È»O«n,566.00,9000,0,,162,1042»O»È»O«n,569.00,4110,0 
163,1042»O»È»O«n,570.00,21367,3007,,164,1042»O»È»O«n,571.00,10074,2155 
165,1042»O»È»O«n,572.00,2547,170,,166,1042»O»È»O«n,573.00,244,0 
167,1043»O»È¥ÁÅv,566.00,9000,1000,,168,1043»O»È¥ÁÅv,569.00,8403,1000 
169,1043»O»È¥ÁÅv,570.00,29350,1400,,170,1043»O»È¥ÁÅv,571.00,14911,1360 
171,1043»O»È¥ÁÅv,572.00,1787,1850,,172,1043»O»È¥ÁÅv,573.00,404,450 
173,1045»O»È·s¦Ë,566.00,2000,1000,,174,1045»O»È·s¦Ë,569.00,5252,1050 
175,1045»O»È·s¦Ë,570.00,18902,1075,,176,1045»O»È·s¦Ë,571.00,10143,304 
177,1045»O»È·s¦Ë,572.00,2489,1030,,178,1045»O»È·s¦Ë,573.00,685,0 
179,104A»O»È»O¤¤,566.00,19000,0,,180,104A»O»È»O¤¤,569.00,15027,5000 
181,104A»O»È»O¤¤,570.00,26777,19012,,182,104A»O»È»O¤¤,571.00,14883,176 
183,104A»O»È»O¤¤,572.00,5418,55,,184,104A»O»È»O¤¤,573.00,685,0 
185,104C»O»È°ª¶¯,566.00,9000,1000,,186,104C»O»È°ª¶¯,569.00,6176,150 
187,104C»O»È°ª¶¯,570.00,12255,1000,,188,104C»O»È°ª¶¯,571.00,11867,1031 
189,104C»O»È°ª¶¯,572.00,1905,300,,190,104C»O»È°ª¶¯,573.00,158,300 
191,104D»O»Èª÷¤s,566.00,8000,1000,,192,104D»O»Èª÷¤s,569.00,10211,1000 
193,104D»O»Èª÷¤s,570.00,26975,5000,,194,104D»O»Èª÷¤s,571.00,14119,8020 
195,104D»O»Èª÷¤s,572.00,2303,0,,196,104D»O»Èª÷¤s,573.00,699,110 
197,1110¥ø    »È,566.00,4000,0,,198,1110¥ø    »È,569.00,1000,0 
199,1110¥ø    »È,570.00,5400,6,,200,1110¥ø    »È,571.00,2400,0 
201,1110¥ø    »È,572.00,142,0,,202,1111¥ø»È¥x¤¤,566.00,4000,0 
203,1111¥ø»È¥x¤¤,569.00,2100,0,,204,1111¥ø»È¥x¤¤,570.00,1455,879 
205,1111¥ø»È¥x¤¤,571.00,2570,16000,,206,1111¥ø»È¥x¤¤,572.00,330,0 
207,1111¥ø»È¥x¤¤,573.00,10,0,,208,1112¥ø»È¥x«n,566.00,1000,0 
209,1112¥ø»È¥x«n,569.00,0,1000,,210,1112¥ø»È¥x«n,570.00,9360,1000 
211,1112¥ø»È¥x«n,571.00,490,0,,212,1112¥ø»È¥x«n,572.00,200,0 
